obj_id,tex
5f38dbc7e09d2cdd,grey seal female
5f38dbc7e09d2cdd,A grey seal is diving into the pool
60a64c226b25f697,thomsons gazelle male
60a64c226b25f697,A male thomsons gazelle is resting in the lake edge
60d4505f1a7290eb,indian rhinoceros juvenile
62d3595fe53c81be,wolf
62d3595fe53c81be,A night wolf is fast-moving to catch the prey near the waterfall
62e532ede5fce4a5,sheep
62e532ede5fce4a5,A sheep is moving around the field to find water
64263b59af4be01a,nyala male
64263b59af4be01a,A male nyala is drinking on the lake
6.58586E+15,bactrian camel male
658d4e36212e9c9e,common ostrich male
672c0162a3077e07,dall sheep juvenile
6e92439ce227a932,chicken
6e92439ce227a932,A tiny chicken is scratching at the ground
6f3e9d792ec6082d,reindeer male
6f3e9d792ec6082d,A reindeer is fast-moving to the water source
7173c9264a210587,polar bear male
7173c9264a210587,A polar bear is searching for food on the ice rock
7693fede195ea017,himalayan brown bear male
81dc2a724ba57790,bonobo juvenile
81dc2a724ba57790,A bonobo is standing and playing on the sand
82c76d00ebd193b6,western lowland gorilla male
82de86e0cd7f9736,rabbit
834953da8335695b,bornean orangutan female
834953da8335695b,A female Bornean orangutan is moving from tree to tree
846ee3d09ab0fcc8,indian elephant female
84cda9bd7042c100,komodo dragon juvenile
84cda9bd7042c100,A komodo dragon is preparing to attack the prey
868c9905d94ddb08,rhinoceros
876489950e67fe4b,malayan tapir male
876489950e67fe4b,A male Baird tapir is seeking out water
876489950e67fe4b,A Malayan tapir is foraging for leaves around the tree
88c74acaea736788,gray wolf female
890f0812b9947e09,dhole juvenile
890f0812b9947e09,A juvenile dhole is moving and playing in the forest
8b632eddc3627a37,lesser antillean iguana
8e2dcf928d4348fd,crow
8e2dcf928d4348fd,A brown crow is foraging for food in fields
90595337e6108d17,western chimpanzee male
90595337e6108d17,A female Bornean orangutan is moving from tree to tree
90ba6644ad322c47,african elephant male
93068e2de4fc820a,indian rhinoceros female
93c911b19ed62df8,west african lion male
9841cafe9b5e1f5e,dingo juvenile
9841cafe9b5e1f5e,A tiny young dingo is basking in the sun near the lake
98b4aaaa2165fcd1,snow leopard female
98c510f0e41accf8,okapi female
9c8ce73f3c2c12d2,hippopotamus male
9d5d62c52379d9f0,sk
9d5d62c52379d9f0,A golden eagle is soaring over the river
9ea7c44d1e5ac264,siberian tiger juvenile
a02aaca56afb4f17,pig
a02aaca56afb4f17,A brown pig is slow-moving away the mud
a2e67ac727768dcc,nile monitor juvenile
a2e67ac727768dcc,A komodo dragon is preparing to attack the prey
a2e67ac727768dcc,A juvenile Nile monitor is crawling on the sand near the river
a594a0e2b9fe9ca5,greater flamingo male
a7c3e08cc4309ec9,indian peafowl juvenile
aa5750ffc43bcc18,bengal tiger male
aa5750ffc43bcc18,A female west african lion is roaming the savannas
aa5750ffc43bcc18,A Bengal tiger is standing to watch the prey
ab047afa481c3134,deerdoe
ab047afa481c3134,A whitetail deer doe is resting in the shade
ac3d3b1b6d75d3ae,llama male
ac3d3b1b6d75d3ae,A small llama is running from the predator
ae7e4778dfc7147b,springbok male
afb491e33546448e,babirusa juvenile
afb4aa409ce3ba60,cassowary juvenile
b0334182d0c3faeb,cassowary female
b0334182d0c3faeb,A female cassowary is standing near the river to watch the waterfall
b095d9ef45ca6c13,peacock female
b095d9ef45ca6c13,A female peacock is dancing
b0ed6ea888551408,koala male
b0ed6ea888551408,A great koala is hugging its child on the tree
b234fb92bcacf4db,jaguar male
b234fb92bcacf4db,A Bengal tiger is standing to watch the prey
b245bce8888afeb4,pigeon
b245bce8888afeb4,A white pigeon is flying to the top of the mountain
b4891278cf84bda4,arctic wolf male
b5f24bcd658e3bd5,gemsbok juvenile
b5f24bcd658e3bd5,A young gemsbok is resting under the tree
ba6c17861f1fdabc,great horned owl
ba6c17861f1fdabc,A great horned owl is flying over the forest
bbdedc10be93fb6e,king penguin male
bcfec2a2e7d4336a,formosan black bear juvenile
bcfec2a2e7d4336a,A Formosan black bear is seeking shelter in dens
bd9f8bd45593a0cc,african buffalo juvenile
bffcd34d68d28303,babirusa male
c0d8aefb3b2ae9fb,grizzly bear male
c180a6944a796dd1,giant panda female
c1db6aceadbe546f,sheep
c1db6aceadbe546f,A big sheep is walking to the shelter
c329a4bfc8c0a995,arctic wolf juvenile
c423400504d96338,bornean orangutan juvenile
c423400504d96338,A young Bornean orangutan is standing and playing in the forest canopy
c6aff24baaab3ca9,ring tailed lemur male
c6aff24baaab3ca9,A ring tailed lemur is lying down on the branch
c6f7761f5fe290fa,pronghorn antelope male
c6f7761f5fe290fa,A male pronghorn antelope is running at speeds in the field
c78aacf25332539a,plains zebra male
c9115aa02a41a4e6,puff adder
c9115aa02a41a4e6,A puff adder is moving away from the pool
ca028b330a788164,red panda male
d5ce39428399616c,aldabra giant tortoise female
d63af3f5e7edd913,giant otter male
d63af3f5e7edd913,A giant otter is standing and resting in a burrow
e448bfc8561b7f5b,galapagos giant tortoise male
e5ee823dd8ebfe70,crocodile
e5ee823dd8ebfe70,A crocodile is swimming and diving to catch prey
e6e23a42e21d5d81,common warthog juvenile
e6ec065ce21bb1e9,springbok juvenile
e81bcfcf9bf2c1ca,bongo male
e8626631698592a7,giant anteater juvenile
e8626631698592a7,A giant anteater is resting in a sheltered area
ea774de39e97e259,saltwater crocodile juvenile
ea774de39e97e259,A cuviers dwarf caiman is resting
ef26ac0097ec03ab,thomsons gazelle juvenile
f2e49e6309928b53,gharial male
f46502a5c792f3d2,black wildebeest juvenile
f46502a5c792f3d2,A juvenile black wildebeest is running to the lake
f8287f9edce2640a,lion
f8287f9edce2640a,A lion is moving long distances to reach the water
f88ddb5d1e798ebc,black wildebeest male
fc20b4369ee117fd,babirusa female
fc20b4369ee117fd,A female babirusa is foraging for food near water sources
fec0ffde891590ec,fox
fec0ffde891590ec,A fox is standing to watch the prey under the tree
e74deefe0a3ad809,brown bear
1c94e26b92ab97dd,goose
3d7695f8399c68c5,basset
3ddd6a55a6d8e37c,wolf
3ddd6a55a6d8e37c,A big wolf is standing and resting
9556be5bb399f203,swan
9556be5bb399f203,A white swan is staying in breeding areas
dcea5825436a03ca,falcon
e84d5bcc733cb2c0,gull
ec1d8367e32b35b5,sheep
ec1d8367e32b35b5,A white sheep is sunbathing in the field
f40a50ef56006ab9,crow
01612cb400453597,bird
01612cb400453597,A small sparrow is sleeping in bushes
12c2d1ff31beb7e9,bird
12c2d1ff31beb7e9,A tiny bird is perching on the post
1925dd31d7b4064c,bird
1925dd31d7b4064c,A white bird is gliding over the river
1b7bc4b33cddb120,bird
1b7bc4b33cddb120,A huge bird is foraging food
28ae488982984ce3,bird
29c20613ff8b0ea4,bird toucan
45e33d9f984acc7a,bird
4c142b488845264b,bear roaring and lunging forward
4c142b488845264b,A bear is roaring and lunging forward
4d7a48f9df08a11e,australian cattle dog
4ef649c218c6ffd0,bird
4ef649c218c6ffd0,A tiny parrot hiding in the nest on the tree
5268c856bdbcd7ec,polar bear
547f2f46f3a479eb,caracal
56458bc6918ca35d,bird
56458bc6918ca35d,A tiny bird is returning to the nest
6481b377a1f2992a,bird
6a34b7da751a7f3f,marco polo sheep
6f41ba76e9ffcf67,bird
70c98f4c562affee,antelope
74e121781a01280d,bird
74e121781a01280d,A grey sparrow is foraging on the ground
7c53223fa27fbb2b,wolf
80b20ad87a71a44f,bird
825b05e3f1482c22,bird
837f7b9ff5dcfa78,bird
83a6898b3cf63399,bird
83a6898b3cf63399,A tiny bird is perching on the post
ad6886154dae4a8c,goat
b44e755a2fb42ad0,cat
ba7b9da1f1c45296,bird
bd8a7ac67339e2d5,bird
bd8a7ac67339e2d5,A medium bird is bathing on the lake
ccedf54cba34d96d,cat
d19ff493ba370b6e,concrete dog statue chewing holding bone
d19ff493ba370b6e,A dog is sitting and holding a bone in its mouth
d1aef3261220290a,bird
d1aef3261220290a,A tiny bird is returning to the nest
d2e4667d08d1ff86,tibetan bear
d42e636946ade14e,bird
d42e636946ade14e,A great parrot is traveling between different branches.
e0c5393e4f88864f,gray wolf
ebb4e5b69643d4ab,black cat back arched angry
ebb4e5b69643d4ab,An angry cat is in defense and holding its tail straight up
f1089dcdf18fa0a2,canaan dog
f2fcaced04bd4f2e,dog remeshed hunting
f4673fcd52f52b95,bird
f4673fcd52f52b95,A huge bird is roosting in a bush
f8cbd24719bd2d25,polar bear
3b3252444d8b457a,springbok female
bfc8c9ed57d319d2,springbok female
eb669ec7a2cc888a,springbok female
103a969e2bb1dcc9,bird
103a969e2bb1dcc9,A small sparrow is sleeping in bushes
ce9073046498fc6f,bird
ce9073046498fc6f,A small sparrow is sleeping in bushes
d8507df2c18f7908,bird
d8507df2c18f7908,A small sparrow is sleeping in bushes
0266a5a1e24613ba,goat
0266a5a1e24613ba,A goat is running around the farm to find grass
6bc2402ce628bbef,goat
6bc2402ce628bbef,A goat is running around the farm to find grass
ddfa2ef9e3c43e13,goat
ddfa2ef9e3c43e13,A goat is running around the farm to find grass
0823860d2037647f,american bison female
6dc816c6745c0b4d,american bison female
d3377b07ed88c02c,american bison female
2df52539bd6c0756,binturong female
53e9c7c3130f2d41,binturong female
872da42e17302cf3,binturong female
55f44c3f728145bb,cheetah female
55f44c3f728145bb,A female cheetah is moving around to find water
b141dda23578766d,cheetah female
b141dda23578766d,A female cheetah is moving around to find water
f30a9b11844c24b0,cheetah female
f30a9b11844c24b0,A female cheetah is moving around to find water
0efe9a4279ef9c48,african buffalo female
4ea79a529433b5d6,african buffalo female
5061a045b4f68bc6,african buffalo female
410211806e61d8bb,african elephant female
410211806e61d8bb,A female African elephant is standing in the shade to take a rest
904cb4ada4827f50,african elephant female
904cb4ada4827f50,A female African elephant is standing in the shade to take a rest
fe0dc4f6d17a9c13,african elephant female
fe0dc4f6d17a9c13,A female African elephant is standing in the shade to take a rest
1b3d973e8c712776,capuchin monkey female
2736c1212e9624d8,capuchin monkey female
9edcaa9f5ddecfc2,capuchin monkey female
553744f87e36aabb,zebra
f34aa0a2108b06c2,zebra
f72449d035d0ac79,zebra
02f910f4d565a330,red kangaroo male
02f910f4d565a330,A red kangaroo is resting in the shade
2d4347cacab9627c,red kangaroo male
2d4347cacab9627c,A red kangaroo is resting in the shade
587eeec34cf4d2c8,red kangaroo male
587eeec34cf4d2c8,A red kangaroo is resting in the shade
88fe8b2185d4feb6,bornean orangutan male
88fe8b2185d4feb6,A male Bornean orangutan is looking for food near the stream
ae09892d3ad04b4b,bornean orangutan male
ae09892d3ad04b4b,A male Bornean orangutan is looking for food near the stream
ee5fdac79ee65b48,bornean orangutan male
ee5fdac79ee65b48,A male Bornean orangutan is looking for food near the stream
1b0305051ec67406,bird
1b0305051ec67406,A tiny bird is perching on the post
30d44706cdb396ba,bird
30d44706cdb396ba,A tiny bird is perching on the post
3c2c913e87a88e57,bird
3c2c913e87a88e57,A tiny bird is perching on the post
9e89b018e25bd4ed,bird
9e89b018e25bd4ed,A tiny bird is perching on the post
40e86f26ce8cc8eb,mandrill female
40e86f26ce8cc8eb,A female mandrill is climbing out the top of the tree
836406771c68c193,mandrill female
836406771c68c193,A female mandrill is climbing out the top of the tree
bda1f6d4a4b5fe79,mandrill female
bda1f6d4a4b5fe79,A female mandrill is climbing out the top of the tree
07a182b4c5ff670d,sable antelope juvenile
5479388fdcb8f4b3,sable antelope juvenile
677063925aa95336,sable antelope juvenile
b345896ab5eb2f5e,sable antelope juvenile
fc2db06c4c42b0d2,sable antelope juvenile
6683e5816cd62649,diamondback terrapin
d5bc2c74d13ee217,diamondback terrapin
f17c28d4b31b1517,diamondback terrapin
771f7f4cbdb88fa6,thomsons gazelle female
771f7f4cbdb88fa6,A female thomsons gazelle is browsing on grasses
81e25016525a9151,thomsons gazelle female
81e25016525a9151,A female thomsons gazelle is browsing on grasses
ee154ab1b203f278,thomsons gazelle female
ee154ab1b203f278,A female thomsons gazelle is browsing on grasses
6afaaa7ebeee14b7,bird
6afaaa7ebeee14b7,A white bird is gliding over the river
6f08aeec26ba66cf,bird
6f08aeec26ba66cf,A white bird is gliding over the river
fed99c4e5443d447,bird
fed99c4e5443d447,A white bird is gliding over the river
0489595b95c547dd,dall sheep female
9fe19c2f9343a942,dall sheep female
d7c1b172e327ab80,dall sheep female
208ff71bed4a1459,duck
208ff71bed4a1459,A white duck is resting on the water
48ea82841daadc18,duck
48ea82841daadc18,A white duck is resting on the water
8c85dc57e5e16770,duck
8c85dc57e5e16770,A white duck is resting on the water
145639767668eaf7,bird
145639767668eaf7,A huge bird is foraging food
5ae6baa4fd312d38,bird
5ae6baa4fd312d38,A huge bird is foraging food
e406c931589df07b,bird
e406c931589df07b,A huge bird is foraging food
3d677a4457574cd7,hippopotamus
3d677a4457574cd7,A hippopotamus is travelling through water
5587d54f4108c95e,hippopotamus
5587d54f4108c95e,A hippopotamus is travelling through water
e7f4d68eb4c3f512,hippopotamus
e7f4d68eb4c3f512,A hippopotamus is travelling through water
068a77d6a7c8aa90,spotted hyena male
068a77d6a7c8aa90,A spotted hyena is resting in mud at stream
390eb1a5e57f1bd5,spotted hyena male
390eb1a5e57f1bd5,A spotted hyena is resting in mud at stream
9d6d5dd3175f52fa,spotted hyena male
9d6d5dd3175f52fa,A spotted hyena is resting in mud at stream
a5391c778367ed6b,seagull
cb3b53c236312a01,seagull
f0b5c52cb89607ad,seagull
11d69250767f925c,okapi male
535c19d963f3d1ba,okapi male
034074f6277978dc,sparrow
034074f6277978dc,A tiny sparrow is foraging for food on the ground
1b538c586ad2c0db,sparrow
1b538c586ad2c0db,A tiny sparrow is foraging for food on the ground
f0931310b6964a5e,sparrow
f0931310b6964a5e,A tiny sparrow is foraging for food on the ground
3df2c5b8e30103ff,sun bear male
3df2c5b8e30103ff,A sun bear is lumbering through the forests by night
6b3b93b4b0711861,sun bear male
6b3b93b4b0711861,A sun bear is lumbering through the forests by night
c8c580af957a5d2c,sun bear male
c8c580af957a5d2c,A sun bear is lumbering through the forests by night
26f8ae8f8db6e224,lioness
26f8ae8f8db6e224,A big lioness is resting under the tree
f5c33961fc80448c,lioness
f5c33961fc80448c,A big lioness is resting under the tree
fa79d53c4036fa3d,lioness
fa79d53c4036fa3d,A big lioness is resting under the tree
1065699438e44f04,bird
1387e002edbe7757,bird
29e1d80da09586cc,bird
64773bd12fa9b48c,bird
98032f4c2f991db9,bird
fc8524975220e49c,bird
06420791d90920aa,bird toucan
24215bf7ce370aaf,bird toucan
47a5282b8ba9e6d2,bird toucan
2268076b3b795a99,indian elephant male
2268076b3b795a99,An Indian male elephant is sucking up water
5e873501f1e26ca0,indian elephant male
5e873501f1e26ca0,An Indian male elephant is sucking up water
fe8ba017416507eb,indian elephant male
fe8ba017416507eb,An Indian male elephant is sucking up water
1180fbeb855ae874,pygmy hippo juvenile
1f65711c9ef62568,pygmy hippo juvenile
811a1f305c2884ce,pygmy hippo juvenile
a957b00d43ef7c8f,stag
a957b00d43ef7c8f,A red deer stag is seeking shelter in dense vegetation
c0711e59c0006177,stag
c0711e59c0006177,A red deer stag is seeking shelter in dense vegetation
f7237b602f17a279,stag
f7237b602f17a279,A red deer stag is seeking shelter in dense vegetation
05c7a6c16b69e4b0,malayan tapir male
05c7a6c16b69e4b0,A male Baird tapir is seeking out water
05c7a6c16b69e4b0,A Malayan tapir is foraging for leaves around the tree
124bea9bc82bb0c4,malayan tapir male
124bea9bc82bb0c4,A male Baird tapir is seeking out water
124bea9bc82bb0c4,A Malayan tapir is foraging for leaves around the tree
3dd66bd447d95ae1,malayan tapir male
3dd66bd447d95ae1,A male Baird tapir is seeking out water
3dd66bd447d95ae1,A Malayan tapir is foraging for leaves around the tree
5177b051d25ea0f7,malayan tapir male
5177b051d25ea0f7,A male Baird tapir is seeking out water
5177b051d25ea0f7,A Malayan tapir is foraging for leaves around the tree
56d86e7b9f59e2b7,malayan tapir male
56d86e7b9f59e2b7,A male Baird tapir is seeking out water
56d86e7b9f59e2b7,A Malayan tapir is foraging for leaves around the tree
c6a64b1fd1e8cd43,malayan tapir male
c6a64b1fd1e8cd43,A male Baird tapir is seeking out water
c6a64b1fd1e8cd43,A Malayan tapir is foraging for leaves around the tree
5e626e0bc33e7019,bear
5e626e0bc33e7019,A big bear is searching for food in the cave
dc4ff0bf65018d35,bear
dc4ff0bf65018d35,A big bear is searching for food in the cave
dd8a26c4de9a4d6c,bear
dd8a26c4de9a4d6c,A big bear is searching for food in the cave
169b90e868c69185,clouded leopard female
4ce0245ee81d54c8,clouded leopard female
c94760fab3f8ec44,clouded leopard female
0016afdafa241a8b,elephant
0016afdafa241a8b,A huge elephant is using their trunks to spray water
1f7b19dd8f7d532e,elephant
1f7b19dd8f7d532e,A huge elephant is using their trunks to spray water
4bc2868c75c32abd,elephant
4bc2868c75c32abd,A huge elephant is using their trunks to spray water
30aeb0f6039ef714,boar
30aeb0f6039ef714,A huge boar is roaming over large areas in search of water
8b4f277b03b271b5,boar
8b4f277b03b271b5,A huge boar is roaming over large areas in search of water
ff35780e9a84c00c,boar
ff35780e9a84c00c,A huge boar is roaming over large areas in search of water
1eb2e5d50f0ae982,pronghorn antelope female
2c5bd307d25beb0f,pronghorn antelope female
776a9134c6bb1d03,pronghorn antelope female
7c1bca56ec73c461,reindeer juvenile
80f19bdb036e4d95,reindeer juvenile
ff51de34794e07fd,reindeer juvenile
2232fed9e00d559a,dall sheep male
d0c30ad9d0522ca9,dall sheep male
d4de076de078e6ba,dall sheep male
7febb03fa7121507,indian peafowl male
9351cfef5ce54e69,indian peafowl male
f1d410c5d6888311,indian peafowl male
8e5b0a1b440e41b1,reticulated giraffe male
e31ced3776eca0a7,reticulated giraffe male
f24db050b4065a9c,reticulated giraffe male
ea200cbaf4ceb144,west african lion female
ea200cbaf4ceb144,A female west african lion is roaming the savannas
a08b0c2fe44e748b,mandrill juvenile
bea831bbdeb49dbe,mandrill juvenile
fc7b6af833b14287,mandrill juvenile
22148c7852d51497,common warthog female
50d1d60a07d09d83,common warthog female
5d33d36a11ebf237,common warthog female
18476d26139f9f44,bird
98b9ecda30efcb34,bird
a609886e475e0942,bird
7bf29d74ee81f62a,common ostrich juvenile
c281a16ddb955261,common ostrich juvenile
c36b74d05bd80d81,common ostrich juvenile
0ffe68ec732dddff,american bison juvenile
6cb7c854dc08ec70,american bison juvenile
7161147dfc135e09,american bison juvenile
107cecfd59be0583,chinese pangolin male
39ac47af68e86109,chinese pangolin male
c6457fbbce37ec86,chinese pangolin male
cb4fbea952d068b4,bear roaring and lunging forward
cb4fbea952d068b4,A bear is roaring and lunging forward
eb2ca1b686cec5b6,bear roaring and lunging forward
eb2ca1b686cec5b6,A bear is roaring and lunging forward
fb8e44e358fa39c8,bear roaring and lunging forward
fb8e44e358fa39c8,A bear is roaring and lunging forward
e84c540449aea18a,japanese macaque male
ee08e4a284a536e8,japanese macaque male
f858f2ac7979a7b1,japanese macaque male
b46c5d1510f7e1a4,nyala female
d0ea1adb69ca11d1,nyala female
e0f5cafb98d9acf7,nyala female
9b93eafce6f5a7ac,australian cattle dog
d91ae5ac12f20fb9,australian cattle dog
eea729867e7273aa,australian cattle dog
152e68ac50b67fd3,bird
152e68ac50b67fd3,A tiny parrot hiding in the nest on the tree
c8a68150df3727e6,bird
c8a68150df3727e6,A tiny parrot hiding in the nest on the tree
fdfd2538c9269782,bird
fdfd2538c9269782,A tiny parrot hiding in the nest on the tree
02bf2b708a98eb01,proboscis monkey male
6c74ffe6fa3a2227,proboscis monkey male
8f1e3d3f3eb18a62,proboscis monkey male
0ae627367cedcd26,red ruffed lemur male
0ae627367cedcd26,A red ruffed lemur  is standing under the tree
32e445ce45908f8f,red ruffed lemur male
32e445ce45908f8f,A red ruffed lemur  is standing under the tree
c08b5058ec12705d,red ruffed lemur male
c08b5058ec12705d,A red ruffed lemur  is standing under the tree
3762672a3fb6a081,gemsbok female
3762672a3fb6a081,A big gemsbok is standing beside the waterfall
5a47b8a4ad093e6c,gemsbok female
5a47b8a4ad093e6c,A big gemsbok is standing beside the waterfall
5f779cd192cae3a3,gemsbok female
5f779cd192cae3a3,A big gemsbok is standing beside the waterfall
07b9f5a19be6449a,polar bear
6d73a35aafa82787,polar bear
6fc0839548a389b2,polar bear
2ae530419cd685af,indian rhinoceros male
40989eb3293c273e,indian rhinoceros male
8b0062ec0267c5f1,indian rhinoceros male
c08708af112a0bc7,indian rhinoceros male
d135189b46e20da8,indian rhinoceros male
6d63b247b02d535d,lehmanns poison frog
b4820fa8a2c2444a,lehmanns poison frog
cdd35fc56b3e2d0a,lehmanns poison frog
78c5de6dd0d3af11,caracal
cdb03dd72471b157,caracal
d93679457ff96f4f,caracal
014cbea869fcf211,bird
014cbea869fcf211,A tiny bird is returning to the nest
3707cda48b44084f,bird
3707cda48b44084f,A tiny bird is returning to the nest
67fbcae05765c5f0,cuviers dwarf caiman juvenile
67fbcae05765c5f0,A cuviers dwarf caiman is resting
7af0ae61cfa42a48,cuviers dwarf caiman juvenile
7af0ae61cfa42a48,A cuviers dwarf caiman is resting
8061c9167e0cb731,cow
8061c9167e0cb731,A great cow is resting and lie down under the tree
919317f18eaae8fd,cow
919317f18eaae8fd,A great cow is resting and lie down under the tree
cb59eadac2b90db5,cow
cb59eadac2b90db5,A great cow is resting and lie down under the tree
5748b8108aea43c6,pygmy hippo male
aae580fed8c9604b,pygmy hippo male
dbfad9e0971c6734,pygmy hippo male
1e76e5c9aa18cad5,sable antelope male
dfbb8fdd9be16fc6,sable antelope male
ef916ad12d81d484,sable antelope male
52f8ea88fade532a,aardvark female
8905f44a81dddb52,aardvark female
b40605d93511756d,aardvark female
13e0f1c32a3c9bcc,african wild dog female
511779683b40b395,african wild dog female
6920236f40bf3768,african wild dog female
15d746d0e8530e55,grey seal female
15d746d0e8530e55,A grey seal is diving into the pool
56c67f15ec8bdb2c,grey seal female
56c67f15ec8bdb2c,A grey seal is diving into the pool
deed286d937453e9,grey seal female
deed286d937453e9,A grey seal is diving into the pool
2b72aa75a44e8847,thomsons gazelle male
2b72aa75a44e8847,A male thomsons gazelle is resting in the lake edge
60af2d4f86d5307c,thomsons gazelle male
60af2d4f86d5307c,A male thomsons gazelle is resting in the lake edge
69b0631cac45fce6,thomsons gazelle male
69b0631cac45fce6,A male thomsons gazelle is resting in the lake edge
22648f17641ea2ee,indian rhinoceros juvenile
3af12c73b71c656f,indian rhinoceros juvenile
9dd06e3c5098a211,indian rhinoceros juvenile
95865abd260e2c15,wolf
95865abd260e2c15,A night wolf is fast-moving to catch the prey near the waterfall
c5bc9b0cfdb5d23e,wolf
c5bc9b0cfdb5d23e,A night wolf is fast-moving to catch the prey near the waterfall
f770b7a17bed6938,wolf
f770b7a17bed6938,A night wolf is fast-moving to catch the prey near the waterfall
79a002142ee6b312,sheep
79a002142ee6b312,A sheep is moving around the field to find water
36089dc42596904a,nyala male
36089dc42596904a,A male nyala is drinking on the lake
aa0598ae402d2833,nyala male
aa0598ae402d2833,A male nyala is drinking on the lake
d3ce00984b6ffe3a,nyala male
d3ce00984b6ffe3a,A male nyala is drinking on the lake
983acf35534872bb,bird
f488c177fdbbab01,bird
f6dddfd190b2291f,bird
22c09296590fb951,bactrian camel male
74703abba6aed00b,bactrian camel male
819367dceddb838b,bactrian camel male
2e86a3625d556854,common ostrich male
cc9d45414fb693d5,common ostrich male
d3af05d7f2f37761,common ostrich male
0a87f2d6c01fb230,dall sheep juvenile
98d12855b2889504,dall sheep juvenile
b4679940dd7710ef,dall sheep juvenile
5a96f86475d74e88,marco polo sheep
75bd8a12238f44b5,marco polo sheep
c97abb4e781eaec2,marco polo sheep
7f36942b8785093d,chicken
7f36942b8785093d,A tiny chicken is scratching at the ground
919b80269990ac22,chicken
919b80269990ac22,A tiny chicken is scratching at the ground
b3639e91e48f90f1,chicken
b3639e91e48f90f1,A tiny chicken is scratching at the ground
24e4919ee2fad075,reindeer male
24e4919ee2fad075,A reindeer is fast-moving to the water source
a4da84ed81451ad0,reindeer male
a4da84ed81451ad0,A reindeer is fast-moving to the water source
edf43557a84dc38e,reindeer male
edf43557a84dc38e,A reindeer is fast-moving to the water source
a52636bfacafa2b6,bird
ab130247173f42ba,bird
f68c68b42185c717,bird
6f50fb3efc179160,antelope
c53efb8e05ccafb5,antelope
d7f91c8dd06833e0,antelope
0ae964801539411d,polar bear male
